TIME,AUTHOR,TEXT,TIMESTAMP,REVOICABLE,AGREE_CANDIDATE,AGREEMENT,DISAGREEMENT,NEGATIVITY,POSITIVITY,QUESTION,INHERITANCE,EXPLANATION_CONTRIBUTION,EXPLANATION_REQUEST,PREDICTION_CONTRIBUTION,GIVING_OPINION,HELP_REQUEST,CHALLENGE_CONTRIBUTION,CHALLENGE_REQUEST,REVOICE_CONTRIBUTION,REVOICE_REQUEST
11:58:01,TUT,"Hi, my name is Sage. I'll be working with you in this activity. Take a minute to introduce yourselves. ",1363017481970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:58:27,839CN6,HI SAGE MY NAME IS WINWIN NICE TO MEET U :),1363017507769,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:58:29,TUT,"I won't tell you if you're right or wrong, but I'll help you discuss each problem as a team.",1363017509662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:58:42,TUT,"As a group, talk to each other and come up with a good scientific explanation for how these two parents could produce this litter of kittens. ",1363017522390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:58:49,842CN6,Hey WinWin. ,1363017529498,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:58:53,839CN6,HI ,1363017533159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:58:58,827CN6,no,1363017538587,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11:59:36,839CN6,my is blank ,1363017576253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:00:32,842CN6,Okay so where's the thing we're suppose to be doing??,1363017632176,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
00:00:52,TUT,"The white-fur phenotype is probably recessive - so only ""gg"" genotype cats can have white fur.",1363017652954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:00:52,TUT,"To have only orange chil892CS3n, each cross between the parents has to include a dominant ""G"" allele.",1363017652955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:02:14,839CN6,so they would all be homo. dominant right ?,1363017734384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
00:03:03,827CN6,i think ,1363017783735,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
00:03:07,TUT,"If the orange parent was heterozygous (Gg), would this litter of kittens be impossible, or just less likely? Explain why.",1363017787581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:03:52,827CN6,"no, ",1363017832883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:16,TUT,Problem #2 is about the same species of cat - white fur is a recessive trait.,1363017856724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:16,TUT,"By looking at the chil892CS3n's fur, try to predict the genotype of both parents.",1363017856725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:51,827CN6,;kmpk;\,1363017891041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:51,827CN6,,1363017891244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:53,827CN6,,1363017893748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:54,827CN6,,1363017894051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:54,827CN6,,1363017894253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:54,827CN6,,1363017894255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:54,827CN6,,1363017894558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:54,827CN6,,1363017894560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:54,827CN6,,1363017894762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:54,827CN6,,1363017894764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:54,827CN6,,1363017894766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:55,827CN6,,1363017895269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:55,827CN6,,1363017895271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:55,827CN6,,1363017895273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:55,827CN6,,1363017895475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:04:55,827CN6,,1363017895477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
